UID,OSHPD_ID,Facility Name,Facility Type,Services,Location
0,106380826,California Pacific Med Ctr-california East,General Acute Care Hospital,Hospital,"3698 SACRAMENTO STREET
San Francisco, CA
(37.787402319999998, -122.453549499999990)"
1,106380777,California Pacific Med Ctr-california West,General Acute Care Hospital,Hospital,"3700 CALIFORNIA STREET
San Francisco, CA
(37.786144059999998, -122.455911660000000)"
2,106380933,California Pacific Med Ctr-davies Campus,General Acute Care Hospital,Hospital,"CASTRO AND DUBOCE STREETS
San Francisco, CA
(37.769054189999999, -122.435817700000000)"
3,106380929,California Pacific Med Ctr-pacific Campus,General Acute Care Hospital,Hospital,"2333 BUCHANAN STREET
San Francisco, CA
(37.791424440000000, -122.431037550000000)"
4,106380964,California Pacific Medical Center - St. Luke's Campus,General Acute Care Hospital,Hospital,"3555 CESAR CHAVEZ STREET
San Francisco, CA
(37.748042959999999, -122.421248850000000)"
5,106382715,Chinese Hospital,General Acute Care Hospital,Hospital,"845 JACKSON STREET
San Francisco, CA
(37.795662090000000, -122.409172330000000)"
6,106380857,Kaiser Fnd Hosp - San Francisco,General Acute Care Hospital,Hospital,"2425 GEARY BOULEVARD
San Francisco, CA
(37.782683239999997, -122.443706760000000)"
7,106380865,Laguna Honda Hospital And Rehabilitation Center,General Acute Care Hospital,Hospital,"375 LAGUNA HONDA BOULEVARD
San Francisco, CA
(37.747625730000003, -122.458717789999990)"
8,106380939,San Francisco General Hospital,General Acute Care Hospital,Hospital,"1001 POTRERO AVENUE
San Francisco, CA
(37.756063630000000, -122.407719720000000)"
9,106380960,St. Francis Memorial Hospital,General Acute Care Hospital,Hospital,"900 HYDE STREET
San Francisco, CA
(37.789567980000001, -122.417066210000000)"
10,106380965,"St. Mary's Medical Center, San Francisco",General Acute Care Hospital,Hospital,"450 STANYAN STREET
San Francisco, CA
(37.773804490000003, -122.454406789999990)"
11,106381154,Ucsf Medical Center,General Acute Care Hospital,Hospital,"505 PARNASSUS AVENUE
San Francisco, CA
(37.763367340000002, -122.458567380000010)"
12,106380895,Ucsf Medical Center At Mount Zion,General Acute Care Hospital,Hospital,"1600 DIVISADERO STREET
San Francisco, CA
(37.784776860000001, -122.439725810000000)"
13,306384044,On Lok 30th Street Community Center,Community Clinic,Senior Health,"225 30TH STREET
San Francisco, CA
(37.742152879999999, -122.425108339999990)"
14,306384180,Ahf Healthcare Center - San Francisco,Community Clinic,Sexual Health Clinic,"1025 HOWARD STREET
San Francisco, CA
(37.779187010000001, -122.407791059999990)"
15,306384166,Baart Market Clinic,Community Clinic,Drug Treatment,"1111 MARKET STREET, 1ST FLOOR
San Francisco, CA
(37.780217200000003, -122.412790750000000)"
16,306384192,Baart Turk Street Clinic,Community Clinic,Drug Treatment,"433 TURK STREET
San Francisco, CA
(37.782463229999998, -122.416346570000000)"
17,306384154,Chinese Community Health Services,Community Clinic,General Health,"1800 31ST AVENUE
San Francisco, CA
(37.753412779999998, -122.489274630000000)"
18,306384182,Chinese Hospital's Excelsior Health Services,Community Clinic,General Health,"888 PARIS STREET
San Francisco, CA
(37.715826460000002, -122.439401020000010)"
19,306382735,Curry Senior Center,Community Clinic,Senior Health,"333 TURK STREET
San Francisco, CA
(37.782670539999998, -122.414581620000010)"
20,306381276,"Drug Detoxification, Rehab And After Care Svs. Prog.",Free Clinic,Drug Treatment,"529 CLAYTON STREET
San Francisco, CA
(37.770294610000001, -122.448703020000000)"
