zip_code,latitude,longitude,population,median_income
94127,37.736535,-122.45732,20624,"95,313.00"
94105,37.789168,-122.395009,2058,"88,976.00"
94123,37.800254,-122.436975,22903,"84,710.00"
94130,37.820894,-122.369725,1453,"80,959.00"
94131,37.746699,-122.442833,27897,"76,044.00"
94114,37.758085,-122.434801,30574,"75,727.00"
94129,37.797526,-122.464531,2228,"73,571.00"
94116,37.74441,-122.486764,42958,"66,627.00"
94117,37.770533,-122.445121,38738,"63,983.00"
94121,37.776718,-122.495781,42473,"61,776.00"
94118,37.781304,-122.461522,38939,"61,609.00"
94107,37.768881,-122.395521,17368,"61,362.00"
94122,37.760412,-122.484966,55492,"60,733.00"
94112,37.720498,-122.443119,73104,"57,629.00"
94111,37.801776,-122.402293,3335,"56,569.00"
94132,37.722302,-122.491129,26291,"55,000.00"
94115,37.786031,-122.437301,33115,"54,879.00"
94134,37.721052,-122.413573,40134,"54,342.00"
94110,37.750021,-122.415201,74633,"53,795.00"
94109,37.794487,-122.42227,56322,"43,444.00"
94133,37.802071,-122.411004,26827,"40,990.00"
94124,37.731505,-122.384532,33170,"37,146.00"
94108,37.791998,-122.408653,13716,"31,542.00"
94103,37.773147,-122.411287,23016,"31,131.00"
94102,37.7795,-122.419233,28991,"22,351.00"
94104,37.791222,-122.402241,374,"14,609.00"
94128,37.626369,-122.385694,0,0
